Year,Percent Recession
1855,0.00
1856,0.00
1857,0.58
1858,0.92
1859,0.00
1860,0.25
1861,0.42
1862,0.00
1863,0.00
1864,0.00
1865,0.75
1866,1.00
1867,0.92
1868,0.00
1869,0.58
1870,0.92
1871,0.00
1872,0.00
1873,0.25
1874,1.00
1875,1.00
1876,1.00
1877,1.00
1878,1.00
1879,0.17
1880,0.00
1881,0.00
1882,0.83
1883,1.00
1884,1.00
1885,0.33
1886,0.00
1887,0.83
1888,0.25
1889,0.00
1890,0.50
1891,0.33
1892,0.00
1893,1.00
1894,0.42
1895,0.08
1896,1.00
1897,0.42
1898,0.00
1899,0.58
1900,0.92
1901,0.00
1902,0.33
1903,1.00
1904,0.58
1905,0.00
1906,0.00
1907,0.67
1908,0.42
1909,0.00
1910,1.00
1911,1.00
1912,0.00
1913,1.00
1914,0.92
1915,0.00
1916,0.00
1917,0.00
1918,0.42
1919,0.17
1920,1.00
1921,0.50
1922,0.00
1923,0.67
1924,0.50
1925,0.00
1926,0.25
1927,0.83
1928,0.00
1929,0.42
1930,1.00
1931,1.00
1932,1.00
1933,0.17
1934,0.00
1935,0.00
1936,0.00
1937,0.67
1938,0.42
1939,0.00
1940,0.00
1941,0.00
1942,0.00
1943,0.00
1944,0.00
1945,0.67
1946,0.00
1947,0.00
1948,0.17
1949,0.75
1950,0.00
1951,0.00
1952,0.00
1953,0.50
1954,0.33
1955,0.00
1956,0.00
1957,0.42
1958,0.25
1959,0.00
1960,0.75
1961,0.08
1962,0.00
1963,0.00
1964,0.00
1965,0.00
1966,0.00
1967,0.00
1968,0.00
1969,0.08
1970,0.83
1971,0.00
1972,0.00
1973,0.17
1974,1.00
1975,0.17
1976,0.00
1977,0.00
1978,0.00
1979,0.00
1980,0.50
1981,0.50
1982,0.83
1983,0.00
1984,0.00
1985,0.00
1986,0.00
1987,0.00
1988,0.00
1989,0.00
1990,0.50
1991,0.17
1992,0.00
1993,0.00
1994,0.00
1995,0.00
1996,0.00
1997,0.00
1998,0.00
1999,0.00
2000,0.00
2001,0.67
2002,0.00
2003,0.00
2004,0.00
2005,0.00
2006,0.00
2007,0.08
2008,1.00
2009,0.42
2010,0.00
2011,0.00
2012,0.00
2013,0.00
2014,0.00
2015,0.00
2016,0.00
2017,0.00
2018,0.00
2019,0.00
2020,0.00
